LS	09/11/2022 15:33									
File name:	IODP_STV0168-17_02.$ls									
File ID:	IODP									
Sample ID:	STV0168-170									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	2									
Start time:	09/11/2022 15:32									
Run length:	62									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	12									
PIDS Obscur:	42									
Obscuration:	OK									
Serial Number:	7205									
										
From	0.04									
To	2000									
Volume 	100									
Mean:	96.95									
Median:	77.95									
"D(0,0):"	0.104									
Mean/Median ratio:	1.244									
Mode:	96.49									
S.D.:	103.7									
Variance:	10752									
C.V.:	107									
Skewness:	3.515									
Kurtosis:	17.3									
d10:	8.324									
d50:	77.95									
d90:	180									
Specific Surf. Area:	5369									
										
% <	Size 									
10	8.32									
25	37.2									
50	78									
75	122									
90	180									
										
% >	Size 									
10	180									
25	122									
50	78									
75	37.2									
90	8.32									
										
Size 	% <									
1	1.54									
10	11.2									
100	63.8									
1000	99.99									
										
Size 	% >									
1	98.5									
10	88.8									
100	36.2									
1000	0.0069									
										
Particle	IODP_STV016	Volume	Volume	IODP_STV016	Volume	Volume				
Diameter	8-17_02.$ls	% >	%	6-16_02.$ls	% >	%				
um	Volume			Volume						
	% <			% <						
0.4	0.58	99.4	0.15	0.53	99.5	0.15				
0.488	0.73	99.3	0.33	0.68	99.3	0.35				
0.69	1.06	98.9	0.46	1.03	99	0.49				
0.98	1.51	98.5	0.62	1.52	98.5	0.65				
1.38	2.13	97.9	0.87	2.17	97.8	0.87				
1.95	3	97	1.18	3.03	97	1.12				
2.76	4.19	95.8	1.52	4.16	95.8	1.42				
3.91	5.7	94.3	1.81	5.57	94.4	1.75				
5.52	7.51	92.5	2.08	7.32	92.7	2.21				
7.81	9.59	90.4	2.31	9.54	90.5	2.86				
11.05	11.9	88.1	2.61	12.4	87.6	3.91				
15.63	14.5	85.5	3.21	16.3	83.7	5.75				
22.1	17.7	82.3	4.37	22	78	8.64				
31.3	22.1	77.9	6.58	30.7	69.3	12.5				
44.2	28.7	71.3	11.1	43.2	56.8	17.2				
62.5	39.8	60.2	17	60.4	39.6	18.1				
88.4	56.8	43.2	19.2	78.4	21.6	11.9				
125	76	24	13.6	90.3	9.71	4.4				
177	89.6	10.4	6.04	94.7	5.31	1.91				
250	95.7	4.35	1.68	96.6	3.39	1.01				
354	97.3	2.67	0.76	97.6	2.38	1.02				
500	98.1	1.91	1.4	98.6	1.36	1.2				
707	99.5	0.51	0.5	99.8	0.16	0.16				
1000	99.99	0.0069	0.0069	100	0	0				
1414	100	0	0	100	0	0				
2000	100	0	0	100	0	0				
2828	100	0	0	100	0	0				
4000	100	0		100	0					
										
Channel	Channel	Channel	8-17_02.$ls	Cum. <	Cum. >	Diff.	6-16_02.$ls	Cum. <	Cum. >	Diff.
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number	Diff.	Volume	Volume	Number
(Lower)	(Center)	(Upper)	Volume	%	%	%	Volume	%	%	%
um	um	um	%				%			
0.04	0.042	0.044	0.00027	0	100	1.9	0.0002	0	100	1.71
0.044	0.046	0.048	0.00036	0.00027	100	1.89	0.00027	0.0002	100	1.74
0.048	0.05	0.053	0.00057	0.00063	99.999	2.29	0.00044	0.00046	100	2.16
0.053	0.055	0.058	0.0011	0.0012	99.999	3.49	0.00089	0.0009	99.999	3.32
0.058	0.061	0.064	0.0024	0.0023	99.998	5.51	0.0018	0.0018	99.998	5.21
0.064	0.067	0.07	0.0044	0.0047	99.995	7.71	0.0034	0.0036	99.996	7.26
0.07	0.073	0.077	0.0068	0.0092	99.99	8.9	0.0052	0.007	99.99	8.37
0.077	0.08	0.084	0.009	0.016	99.98	8.93	0.007	0.012	99.99	8.48
0.084	0.088	0.093	0.011	0.025	99.98	8.39	0.0087	0.019	99.98	8.05
0.093	0.097	0.102	0.014	0.036	99.96	7.69	0.011	0.028	99.97	7.48
0.102	0.106	0.112	0.016	0.05	99.95	6.88	0.013	0.039	99.96	6.79
0.112	0.117	0.122	0.018	0.066	99.9	5.99	0.015	0.052	99.9	6
0.122	0.128	0.134	0.021	0.084	99.9	5.12	0.017	0.067	99.9	5.2
0.134	0.141	0.148	0.023	0.11	99.9	4.33	0.02	0.084	99.9	4.46
0.148	0.155	0.162	0.026	0.13	99.9	3.63	0.022	0.1	99.9	3.8
0.162	0.17	0.178	0.028	0.15	99.8	3.01	0.025	0.13	99.9	3.22
0.178	0.186	0.195	0.031	0.18	99.8	2.5	0.028	0.15	99.8	2.72
0.195	0.205	0.214	0.034	0.21	99.8	2.08	0.031	0.18	99.8	2.29
0.214	0.225	0.235	0.038	0.25	99.8	1.72	0.035	0.21	99.8	1.94
0.235	0.247	0.258	0.041	0.29	99.7	1.43	0.039	0.24	99.8	1.64
0.258	0.271	0.284	0.045	0.33	99.7	1.18	0.043	0.28	99.7	1.38
0.284	0.297	0.311	0.049	0.37	99.6	0.98	0.048	0.33	99.7	1.16
0.311	0.326	0.342	0.054	0.42	99.6	0.8	0.053	0.37	99.6	0.97
0.342	0.358	0.375	0.058	0.48	99.5	0.66	0.058	0.43	99.6	0.81
0.375	0.393	0.412	0.063	0.53	99.5	0.54	0.064	0.48	99.5	0.67
0.412	0.431	0.452	0.068	0.6	99.4	0.44	0.07	0.55	99.5	0.56
0.452	0.474	0.496	0.074	0.67	99.3	0.36	0.077	0.62	99.4	0.46
0.496	0.52	0.545	0.08	0.74	99.3	0.3	0.084	0.7	99.3	0.38
0.545	0.571	0.598	0.087	0.82	99.2	0.24	0.092	0.78	99.2	0.32
0.598	0.627	0.656	0.094	0.91	99.1	0.2	0.1	0.87	99.1	0.26
0.656	0.688	0.721	0.1	1	99	0.16	0.11	0.97	99	0.21
