LS	09/11/2022 14:05									
File name:	IODP_STV0125-12_03.$ls									
File ID:	IODP									
Sample ID:	STV0125-127									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	3									
Start time:	09/11/2022 14:04									
Run length:	62									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	12									
PIDS Obscur:	47									
Obscuration:	OK									
Serial Number:	7205									
										
24.95	26.14	27.39	1.66	23.5	76.5	0.000092				
27.39	28.7	30.07	1.72	25.1	74.9	0.000072				
30.07	31.5	33.01	1.78	26.8	73.2	0.000056				
33.01	34.58	36.24	1.84	28.6	71.4	0.000044				
36.24	37.97	39.78	1.92	30.5	69.5	0.000035				
39.78	41.68	43.67	2.03	32.4	67.6	0.000028				
43.67	45.75	47.94	2.15	34.4	65.6	0.000022				
47.94	50.22	52.62	2.29	36.6	63.4	0.000018				
52.62	55.13	57.77	2.45	38.9	61.1	0.000014				
57.77	60.52	63.41	2.61	41.3	58.7	0.000012				
63.41	66.44	69.61	2.77	43.9	56.1	0.000009				
69.61	72.94	76.42	2.95	46.7	53.3	0.000008				
76.42	80.07	83.89	3.14	49.6	50.4	0.000006				
83.89	87.9	92.09	3.34	52.8	47.2	0.000005				
92.09	96.49	101.1	3.54	56.1	43.9	0.000004				
101.1	105.9	111	3.72	59.6	40.4	0.000003				
111	116.3	121.8	3.86	63.4	36.6	0.000002				
121.8	127.6	133.7	3.95	67.2	32.8	0.000002				
133.7	140.1	146.8	3.97	71.2	28.8	0.000001				
146.8	153.8	161.2	3.92	75.1	24.9	0.000001				
161.2	168.9	176.9	3.77	79.1	20.9	0.000001				
176.9	185.4	194.2	3.51	82.8	17.2	0.000001				
194.2	203.5	213.2	3.14	86.3	13.7	3.69E-07				
213.2	223.4	234.1	2.64	89.5	10.5	2.35E-07				
234.1	245.2	256.9	2.07	92.1	7.88	1.39E-07				
256.9	269.2	282.1	1.47	94.2	5.81	7.49E-08				
282.1	295.5	309.6	0.95	95.7	4.34	3.64E-08				
309.6	324.4	339.9	0.57	96.6	3.39	1.65E-08				
339.9	356.1	373.1	0.36	97.2	2.82	7.92E-09				
373.1	390.9	409.6	0.29	97.5	2.46	4.79E-09				
409.6	429.2	449.7	0.3	97.8	2.17	3.81E-09				
449.7	471.1	493.6	0.35	98.1	1.87	3.37E-09				
493.6	517.2	541.9	0.39	98.5	1.52	2.79E-09				
541.9	567.7	594.9	0.37	98.9	1.13	2.02E-09				
594.9	623.3	653	0.31	99.2	0.75	1.26E-09				
653	684.2	716.8	0.22	99.6	0.45	6.84E-10				
716.8	751.1	786.9	0.14	99.8	0.22	3.16E-10				
786.9	824.5	863.9	0.064	99.9	0.09	1.14E-10				
863.9	905.1	948.3	0.021	99.97	0.025	2.86E-11				
948.3	993.6	1041	0.0036	99.996	0.0039	3.67E-12				
1041	1091	1143	0.00025	100	0.00025	1.90E-13				
1143	1197	1255	0	100	0	0				
1255	1314	1377	0	100	0	0				
1377	1443	1512	0	100	0	0				
1512	1584	1660	0	100	0	0				
1660	1739	1822	0	100	0	0				
1822	1909	2000	0	100	0	0				
2000				100	0					
