LS	09/11/2022 15:12																	
File name:	IODP_STV0166-16_02.$ls																	
File ID:	IODP																	
Sample ID:	STV0166-167																	
Operator:	RG																	
Bar code:																		
Comment 1:																		
Comment 2:																		
Instrument:	"LS 230, VSM Plus"																	
Run number:	2																	
Start time:	09/11/2022 15:11																	
Run length:	62																	
Optical model:	Fraunhofer.rfd   PIDS included																	
Obscuration:	11																	
PIDS Obscur:	37																	
Obscuration:	OK																	
Serial Number:	7205																	
																		
0.102	0.106	0.112	0.013	0.039	99.96	6.79	0.015	0.047	99.95	6.81	0.016	0.052	99.9	6.75	0.016	0.048	99.95	6.82
0.112	0.117	0.122	0.015	0.052	99.9	6	0.017	0.062	99.9	5.94	0.019	0.068	99.9	5.85	0.018	0.064	99.9	5.95
0.122	0.128	0.134	0.017	0.067	99.9	5.2	0.02	0.079	99.9	5.1	0.021	0.087	99.9	5	0.02	0.082	99.9	5.1
0.134	0.141	0.148	0.02	0.084	99.9	4.46	0.022	0.099	99.9	4.32	0.024	0.11	99.9	4.22	0.023	0.1	99.9	4.33
0.148	0.155	0.162	0.022	0.1	99.9	3.8	0.025	0.12	99.9	3.63	0.026	0.13	99.9	3.53	0.025	0.12	99.9	3.64
0.162	0.17	0.178	0.025	0.13	99.9	3.22	0.027	0.15	99.9	3.04	0.029	0.16	99.8	2.94	0.028	0.15	99.8	3.04
0.178	0.186	0.195	0.028	0.15	99.8	2.72	0.03	0.17	99.8	2.53	0.032	0.19	99.8	2.44	0.031	0.18	99.8	2.53
0.195	0.205	0.214	0.031	0.18	99.8	2.29	0.033	0.2	99.8	2.11	0.035	0.22	99.8	2.02	0.034	0.21	99.8	2.11
0.214	0.225	0.235	0.035	0.21	99.8	1.94	0.036	0.24	99.8	1.76	0.038	0.25	99.7	1.67	0.038	0.24	99.8	1.76
0.235	0.247	0.258	0.039	0.24	99.8	1.64	0.04	0.27	99.7	1.46	0.041	0.29	99.7	1.38	0.041	0.28	99.7	1.46
0.258	0.271	0.284	0.043	0.28	99.7	1.38	0.044	0.31	99.7	1.21	0.045	0.33	99.7	1.14	0.046	0.32	99.7	1.22
0.284	0.297	0.311	0.048	0.33	99.7	1.16	0.048	0.36	99.6	1.01	0.049	0.38	99.6	0.94	0.05	0.37	99.6	1.01
0.311	0.326	0.342	0.053	0.37	99.6	0.97	0.053	0.4	99.6	0.83	0.053	0.43	99.6	0.77	0.055	0.42	99.6	0.83
0.342	0.358	0.375	0.058	0.43	99.6	0.81	0.057	0.46	99.5	0.68	0.058	0.48	99.5	0.63	0.059	0.47	99.5	0.69
0.375	0.393	0.412	0.064	0.48	99.5	0.67	0.062	0.51	99.5	0.56	0.063	0.54	99.5	0.52	0.065	0.53	99.5	0.56
0.412	0.431	0.452	0.07	0.55	99.5	0.56	0.068	0.58	99.4	0.46	0.068	0.6	99.4	0.42	0.07	0.6	99.4	0.46
0.452	0.474	0.496	0.077	0.62	99.4	0.46	0.074	0.64	99.4	0.38	0.074	0.67	99.3	0.35	0.076	0.67	99.3	0.38
0.496	0.52	0.545	0.084	0.7	99.3	0.38	0.08	0.72	99.3	0.31	0.08	0.74	99.3	0.28	0.083	0.74	99.3	0.31
0.545	0.571	0.598	0.092	0.78	99.2	0.32	0.087	0.8	99.2	0.26	0.086	0.82	99.2	0.23	0.09	0.83	99.2	0.26
0.598	0.627	0.656	0.1	0.87	99.1	0.26	0.094	0.88	99.1	0.21	0.093	0.91	99.1	0.19	0.097	0.92	99.1	0.21
0.656	0.688	0.721	0.11	0.97	99	0.21	0.1	0.98	99	0.17	0.1	1	99	0.15	0.11	1.01	99	0.17
0.721	0.755	0.791	0.12	1.08	98.9	0.18	0.11	1.08	98.9	0.14	0.11	1.1	98.9	0.13	0.11	1.12	98.9	0.14
0.791	0.829	0.868	0.13	1.2	98.8	0.15	0.12	1.19	98.8	0.11	0.12	1.21	98.8	0.1	0.12	1.23	98.8	0.12
0.868	0.91	0.953	0.14	1.33	98.7	0.12	0.13	1.31	98.7	0.094	0.13	1.33	98.7	0.085	0.13	1.36	98.6	0.094
0.953	0.999	1.047	0.15	1.47	98.5	0.098	0.14	1.44	98.6	0.077	0.14	1.45	98.5	0.069	0.15	1.49	98.5	0.077
1.047	1.097	1.149	0.17	1.63	98.4	0.081	0.15	1.58	98.4	0.063	0.15	1.59	98.4	0.056	0.16	1.64	98.4	0.063
1.149	1.204	1.261	0.18	1.8	98.2	0.066	0.16	1.73	98.3	0.051	0.16	1.74	98.3	0.046	0.17	1.79	98.2	0.052
1.261	1.321	1.385	0.2	1.98	98	0.054	0.18	1.89	98.1	0.042	0.17	1.9	98.1	0.038	0.18	1.96	98	0.042
1.385	1.451	1.52	0.21	2.17	97.8	0.044	0.19	2.07	97.9	0.034	0.19	2.07	97.9	0.031	0.2	2.15	97.9	0.034
1.52	1.592	1.668	0.23	2.39	97.6	0.036	0.2	2.26	97.7	0.027	0.2	2.26	97.7	0.025	0.21	2.35	97.7	0.028
1.668	1.748	1.832	0.25	2.61	97.4	0.029	0.22	2.46	97.5	0.022	0.21	2.46	97.5	0.02	0.23	2.56	97.4	0.023
1.832	1.919	2.011	0.26	2.86	97.1	0.024	0.23	2.67	97.3	0.018	0.23	2.67	97.3	0.016	0.24	2.79	97.2	0.018
2.011	2.107	2.207	0.28	3.12	96.9	0.019	0.25	2.9	97.1	0.014	0.25	2.9	97.1	0.013	0.26	3.03	97	0.015
2.207	2.313	2.423	0.3	3.4	96.6	0.015	0.26	3.15	96.8	0.012	0.26	3.15	96.9	0.011	0.28	3.3	96.7	0.012
2.423	2.539	2.66	0.32	3.7	96.3	0.012	0.28	3.41	96.6	0.0093	0.28	3.41	96.6	0.0085	0.3	3.57	96.4	0.0096
2.66	2.787	2.92	0.34	4.02	96	0.01	0.29	3.69	96.3	0.0075	0.3	3.69	96.3	0.0069	0.32	3.87	96.1	0.0077
2.92	3.059	3.205	0.36	4.37	95.6	0.008	0.31	3.98	96	0.006	0.32	3.98	96	0.0055	0.34	4.19	95.8	0.0062
3.205	3.358	3.519	0.38	4.73	95.3	0.0065	0.33	4.3	95.7	0.0048	0.34	4.3	95.7	0.0044	0.36	4.52	95.5	0.005
3.519	3.687	3.863	0.41	5.11	94.9	0.0052	0.35	4.63	95.4	0.0039	0.36	4.63	95.4	0.0036	0.38	4.88	95.1	0.004
3.863	4.047	4.24	0.43	5.52	94.5	0.0042	0.38	4.98	95	0.0031	0.38	4.99	95	0.0029	0.4	5.26	94.7	0.0032
4.24	4.443	4.655	0.46	5.95	94	0.0033	0.4	5.36	94.6	0.0025	0.41	5.37	94.6	0.0023	0.43	5.67	94.3	0.0026
4.655	4.877	5.11	0.49	6.41	93.6	0.0027	0.43	5.76	94.2	0.002	0.43	5.78	94.2	0.0019	0.46	6.1	93.9	0.0021
