LS	09/11/2022 14:13									
File name:	IODP_STV0125-12_04.$ls									
File ID:	IODP									
Sample ID:	STV0125-127									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	4									
Start time:	09/11/2022 14:12									
Run length:	61									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	9									
PIDS Obscur:	39									
Obscuration:	OK									
Serial Number:	7205									
										
From	0.04									
To	2000									
Volume 	100									
Mean:	104									
Median:	78.57									
"D(0,0):"	0.117									
Mean/Median ratio:	1.324									
Mode:	140.1									
S.D.:	104									
Variance:	10822									
C.V.:	100									
Skewness:	2.313									
Kurtosis:	8.386									
d10:	8.987									
d50:	78.57									
d90:	220.4									
Specific Surf. Area:	4753									
										
% <	Size 									
10	8.99									
25	28.5									
50	78.6									
75	148									
90	220									
										
% >	Size 									
10	220									
25	148									
50	78.6									
75	28.5									
90	8.99									
										
Size 	% <									
1	1.39									
10	10.9									
100	58.8									
1000	100									
										
Size 	% >									
1	98.6									
10	89.1									
100	41.2									
1000	0.00021									
										
Particle	IODP_STV012	Volume	Volume	IODP_STV012	Volume	Volume				
Diameter	5-12_04.$ls	% >	%	8-13_03.$ls	% >	%				
um	Volume			Volume						
	% <			% <						
0.4	0.42	99.6	0.14	0.42	99.6	0.12				
0.488	0.55	99.4	0.33	0.54	99.5	0.27				
0.69	0.88	99.1	0.47	0.8	99.2	0.37				
0.98	1.36	98.6	0.63	1.17	98.8	0.47				
1.38	1.99	98	0.84	1.64	98.4	0.61				
1.95	2.83	97.2	1.06	2.25	97.8	0.76				
2.76	3.89	96.1	1.32	3.01	97	0.95				
3.91	5.21	94.8	1.64	3.96	96	1.18				
5.52	6.85	93.2	2.12	5.14	94.9	1.54				
7.81	8.97	91	2.79	6.68	93.3	2.04				
11.05	11.8	88.2	3.76	8.72	91.3	2.75				
15.63	15.5	84.5	5.01	11.5	88.5	3.59				
22.1	20.5	79.5	6.22	15.1	84.9	4.21				
31.3	26.7	73.3	7.15	19.3	80.7	4.35				
44.2	33.9	66.1	8.94	23.6	76.4	4.76				
62.5	42.8	57.2	11.3	28.4	71.6	5.91				
88.4	54.1	45.9	13.7	34.3	65.7	10.3				
125	67.8	32.2	14.6	44.5	55.5	19.4				
177	82.4	17.6	10.8	64	36	21.7				
250	93.2	6.76	4.07	85.7	14.3	10.4				
354	97.3	2.69	1.27	96.1	3.91	2.73				
500	98.6	1.42	1.22	98.8	1.18	1.11				
707	99.8	0.2	0.2	99.9	0.075	0.075				
1000	100	0.00021	0.00021	100	0	0				
1414	100	0	0	100	0	0				
2000	100	0	0	100	0	0				
2828	100	0	0	100	0	0				
4000	100	0		100	0					
										
Channel	Channel	Channel	5-12_04.$ls	Cum. <	Cum. >	Diff.	8-13_03.$ls	Cum. <	Cum. >	Diff.
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number	Diff.	Volume	Volume	Number
(Lower)	(Center)	(Upper)	Volume	%	%	%	Volume	%	%	%
um	um	um	%				%			
0.04	0.042	0.044	0.00011	0	100	1.43	0.00016	0	100	1.76
0.044	0.046	0.048	0.00015	0.00011	100	1.49	0.00022	0.00016	100	1.77
0.048	0.05	0.053	0.00025	0.00026	100	1.89	0.00036	0.00038	100	2.17
0.053	0.055	0.058	0.00052	0.00051	99.999	2.92	0.00072	0.00074	99.999	3.31
0.058	0.061	0.064	0.0011	0.001	99.999	4.55	0.0015	0.0015	99.999	5.21
0.064	0.067	0.07	0.002	0.0021	99.998	6.35	0.0028	0.003	99.997	7.3
0.07	0.073	0.077	0.0031	0.0041	99.996	7.47	0.0042	0.0057	99.99	8.47
0.077	0.08	0.084	0.0042	0.0071	99.99	7.75	0.0057	0.01	99.99	8.58
0.084	0.088	0.093	0.0054	0.011	99.99	7.54	0.0071	0.016	99.98	8.14
0.093	0.097	0.102	0.0068	0.017	99.98	7.17	0.0088	0.023	99.98	7.55
0.102	0.106	0.112	0.0084	0.024	99.98	6.68	0.011	0.032	99.97	6.84
0.112	0.117	0.122	0.01	0.032	99.97	6.04	0.012	0.042	99.96	6.02
0.122	0.128	0.134	0.012	0.042	99.96	5.35	0.014	0.054	99.9	5.21
