LS	09/11/2022 14:03									
File name:	IODP_STV0125-12_01.$ls									
File ID:	IODP									
Sample ID:	STV0125-127									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	1									
Start time:	09/11/2022 14:02									
Run length:	62									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	11									
PIDS Obscur:	47									
Obscuration:	OK									
Serial Number:	7205									
										
From	0.04									
To	2000									
Volume 	100									
Mean:	102.3									
Median:	78.44									
"D(0,0):"	0.119									
Mean/Median ratio:	1.304									
Mode:	140.1									
S.D.:	100.2									
Variance:	10045									
C.V.:	97.95									
Skewness:	2.233									
Kurtosis:	8.089									
d10:	8.896									
d50:	78.44									
d90:	216.5									
Specific Surf. Area:	4778									
										
% <	Size 									
10	8.9									
25	28.5									
50	78.4									
75	147									
90	216									
										
% >	Size 									
10	216									
25	147									
50	78.4									
75	28.5									
90	8.9									
										
Size 	% <									
1	1.41									
10	10.9									
100	58.8									
1000	100									
										
Size 	% >									
1	98.6									
10	89.1									
100	41.2									
1000	0.00011									
										
Particle	IODP_STV012	Volume	Volume							
Diameter	5-12_01.$ls	% >	%							
um	Volume									
	% <									
0.4	0.42	99.6	0.14							
0.488	0.56	99.4	0.34							
0.69	0.89	99.1	0.48							
0.98	1.38	98.6	0.64							
1.38	2.02	98	0.85							
1.95	2.87	97.1	1.07							
2.76	3.94	96.1	1.33							
3.91	5.27	94.7	1.65							
5.52	6.92	93.1	2.12							
7.81	9.04	91	2.79							
11.05	11.8	88.2	3.75							
15.63	15.6	84.4	5							
22.1	20.6	79.4	6.2							
31.3	26.8	73.2	7.15							
44.2	33.9	66.1	8.96							
62.5	42.9	57.1	11.3							
88.4	54.2	45.8	13.9							
125	68	32	14.9							
177	82.9	17.1	10.8							
250	93.7	6.31	3.91							
354	97.6	2.4	1.18							
500	98.8	1.22	1.07							
707	99.9	0.14	0.14							
1000	100	0.00011	0.00011							
1414	100	0	0							
2000	100	0	0							
2828	100	0	0							
4000	100	0								
										
Channel	Channel	Channel	5-12_01.$ls	Cum. <	Cum. >	Diff.				
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number				
(Lower)	(Center)	(Upper)	Volume	%	%	%				
um	um	um	%							
0.04	0.042	0.044	0.0001	0	100	1.41				
0.044	0.046	0.048	0.00014	0.0001	100	1.45				
0.048	0.05	0.053	0.00024	0.00025	100	1.83				
0.053	0.055	0.058	0.00048	0.00049	100	2.79				
0.058	0.061	0.064	0.00099	0.00097	99.999	4.36				
0.064	0.067	0.07	0.0018	0.002	99.998	6.14				
0.07	0.073	0.077	0.0029	0.0038	99.996	7.31				
0.077	0.08	0.084	0.004	0.0067	99.99	7.66				
0.084	0.088	0.093	0.0052	0.011	99.99	7.49				
0.093	0.097	0.102	0.0066	0.016	99.98	7.15				
0.102	0.106	0.112	0.0082	0.023	99.98	6.69				
0.112	0.117	0.122	0.0098	0.031	99.97	6.08				
0.122	0.128	0.134	0.012	0.041	99.96	5.4				
0.134	0.141	0.148	0.013	0.052	99.9	4.75				
0.148	0.155	0.162	0.016	0.066	99.9	4.16				
0.162	0.17	0.178	0.018	0.081	99.9	3.62				
0.178	0.186	0.195	0.021	0.099	99.9	3.14				
0.195	0.205	0.214	0.024	0.12	99.9	2.73				
0.214	0.225	0.235	0.027	0.14	99.9	2.37				
0.235	0.247	0.258	0.031	0.17	99.8	2.06				
0.258	0.271	0.284	0.036	0.2	99.8	1.79				
0.284	0.297	0.311	0.041	0.24	99.8	1.54				
0.311	0.326	0.342	0.046	0.28	99.7	1.31				
0.342	0.358	0.375	0.052	0.32	99.7	1.12				
0.375	0.393	0.412	0.058	0.38	99.6	0.94				
0.412	0.431	0.452	0.065	0.43	99.6	0.8				
0.452	0.474	0.496	0.072	0.5	99.5	0.67				
0.496	0.52	0.545	0.08	0.57	99.4	0.56				
0.545	0.571	0.598	0.088	0.65	99.3	0.47				
0.598	0.627	0.656	0.098	0.74	99.3	0.39				
0.656	0.688	0.721	0.11	0.84	99.2	0.33				
0.721	0.755	0.791	0.12	0.94	99.1	0.27				
0.791	0.829	0.868	0.13	1.06	98.9	0.22				
0.868	0.91	0.953	0.14	1.19	98.8	0.19				
0.953	0.999	1.047	0.15	1.33	98.7	0.15				
1.047	1.097	1.149	0.17	1.49	98.5	0.13				
1.149	1.204	1.261	0.18	1.65	98.3	0.1				
1.261	1.321	1.385	0.19	1.83	98.2	0.083				
1.385	1.451	1.52	0.21	2.03	98	0.068				
1.52	1.592	1.668	0.22	2.24	97.8	0.055				
1.668	1.748	1.832	0.24	2.46	97.5	0.044				
1.832	1.919	2.011	0.26	2.7	97.3	0.036				
2.011	2.107	2.207	0.27	2.96	97	0.029				
2.207	2.313	2.423	0.29	3.23	96.8	0.023				
2.423	2.539	2.66	0.3	3.52	96.5	0.018				
2.66	2.787	2.92	0.32	3.82	96.2	0.015				
2.92	3.059	3.205	0.34	4.14	95.9	0.012				
3.205	3.358	3.519	0.36	4.48	95.5	0.0094				
3.519	3.687	3.863	0.38	4.84	95.2	0.0075				
3.863	4.047	4.24	0.41	5.22	94.8	0.006				
4.24	4.443	4.655	0.43	5.63	94.4	0.0049				
4.655	4.877	5.11	0.46	6.06	93.9	0.0039				
5.11	5.354	5.61	0.49	6.52	93.5	0.0032				
5.61	5.878	6.158	0.52	7.01	93	0.0026				
6.158	6.452	6.76	0.56	7.53	92.5	0.0021				
6.76	7.083	7.421	0.6	8.09	91.9	0.0017				
7.421	7.775	8.147	0.65	8.7	91.3	0.0014				
