LS	09/11/2022 16:07													
File name:	IODP_STV0226-23_06.$ls													
File ID:	IODP													
Sample ID:	STV0226-230													
Operator:	RG													
Bar code:														
Comment 1:														
Comment 2:														
Instrument:	"LS 230, VSM Plus"													
Run number:	6													
Start time:	09/11/2022 16:06													
Run length:	61													
Optical model:	Fraunhofer.rfd   PIDS included													
0.284	0.297	0.311	0.072	0.5	99.5	1.12	0.072	0.51	99.5	1.08	0.072	0.52	99.5	1.06
0.311	0.326	0.342	0.079	0.57	99.4	0.93	0.079	0.58	99.4	0.9	0.079	0.59	99.4	0.88
0.342	0.358	0.375	0.086	0.65	99.4	0.77	0.086	0.66	99.3	0.74	0.086	0.67	99.3	0.73
0.375	0.393	0.412	0.095	0.74	99.3	0.64	0.094	0.75	99.3	0.61	0.094	0.76	99.2	0.6
0.412	0.431	0.452	0.1	0.83	99.2	0.53	0.1	0.84	99.2	0.5	0.1	0.85	99.1	0.49
0.452	0.474	0.496	0.11	0.93	99.1	0.43	0.11	0.94	99.1	0.41	0.11	0.95	99	0.4
0.496	0.52	0.545	0.12	1.05	99	0.36	0.12	1.05	98.9	0.34	0.12	1.06	98.9	0.33
0.545	0.571	0.598	0.13	1.17	98.8	0.3	0.13	1.18	98.8	0.28	0.13	1.18	98.8	0.27
0.598	0.627	0.656	0.15	1.3	98.7	0.24	0.14	1.31	98.7	0.23	0.14	1.31	98.7	0.22
0.656	0.688	0.721	0.16	1.45	98.6	0.2	0.15	1.45	98.6	0.19	0.15	1.46	98.5	0.18
0.721	0.755	0.791	0.17	1.61	98.4	0.16	0.17	1.6	98.4	0.15	0.17	1.61	98.4	0.15
0.791	0.829	0.868	0.19	1.78	98.2	0.14	0.18	1.77	98.2	0.13	0.18	1.77	98.2	0.12
0.868	0.91	0.953	0.2	1.97	98	0.11	0.2	1.95	98	0.1	0.19	1.95	98	0.098
0.953	0.999	1.047	0.22	2.17	97.8	0.091	0.21	2.15	97.9	0.084	0.21	2.14	97.9	0.08
1.047	1.097	1.149	0.24	2.4	97.6	0.075	0.23	2.36	97.6	0.068	0.22	2.35	97.6	0.065
1.149	1.204	1.261	0.26	2.64	97.4	0.061	0.25	2.59	97.4	0.056	0.24	2.57	97.4	0.053
1.261	1.321	1.385	0.28	2.9	97.1	0.05	0.27	2.83	97.2	0.045	0.26	2.82	97.2	0.043
1.385	1.451	1.52	0.31	3.18	96.8	0.041	0.29	3.1	96.9	0.037	0.28	3.07	96.9	0.035
1.52	1.592	1.668	0.33	3.49	96.5	0.033	0.31	3.38	96.6	0.03	0.3	3.35	96.6	0.028
1.668	1.748	1.832	0.36	3.82	96.2	0.027	0.33	3.69	96.3	0.024	0.32	3.65	96.3	0.023
1.832	1.919	2.011	0.38	4.17	95.8	0.022	0.35	4.02	96	0.02	0.34	3.97	96	0.019
2.011	2.107	2.207	0.41	4.55	95.4	0.018	0.38	4.37	95.6	0.016	0.36	4.31	95.7	0.015
2.207	2.313	2.423	0.44	4.96	95	0.015	0.4	4.75	95.3	0.013	0.39	4.68	95.3	0.012
2.423	2.539	2.66	0.47	5.4	94.6	0.012	0.43	5.15	94.9	0.01	0.42	5.06	94.9	0.0098
2.66	2.787	2.92	0.5	5.87	94.1	0.0095	0.46	5.58	94.4	0.0084	0.44	5.48	94.5	0.0079
2.92	3.059	3.205	0.54	6.37	93.6	0.0077	0.49	6.04	94	0.0068	0.48	5.93	94.1	0.0064
3.205	3.358	3.519	0.58	6.91	93.1	0.0062	0.53	6.53	93.5	0.0055	0.51	6.4	93.6	0.0052
3.519	3.687	3.863	0.62	7.49	92.5	0.005	0.56	7.06	92.9	0.0044	0.54	6.91	93.1	0.0042
3.863	4.047	4.24	0.66	8.1	91.9	0.0041	0.6	7.62	92.4	0.0036	0.58	7.45	92.5	0.0034
4.24	4.443	4.655	0.71	8.76	91.2	0.0033	0.65	8.22	91.8	0.0029	0.63	8.04	92	0.0028
4.655	4.877	5.11	0.76	9.47	90.5	0.0027	0.7	8.87	91.1	0.0024	0.68	8.67	91.3	0.0023
5.11	5.354	5.61	0.82	10.2	89.8	0.0022	0.75	9.57	90.4	0.0019	0.73	9.34	90.7	0.0018
5.61	5.878	6.158	0.88	11.1	88.9	0.0018	0.81	10.3	89.7	0.0016	0.79	10.1	89.9	0.0015
6.158	6.452	6.76	0.95	11.9	88.1	0.0015	0.88	11.1	88.9	0.0013	0.85	10.9	89.1	0.0012
6.76	7.083	7.421	1.03	12.9	87.1	0.0012	0.95	12	88	0.0011	0.92	11.7	88.3	0.001
7.421	7.775	8.147	1.11	13.9	86.1	0.00097	1.03	13	87	0.00086	1	12.6	87.4	0.00082
8.147	8.536	8.943	1.2	15	85	0.00079	1.11	14	86	0.00071	1.08	13.6	86.4	0.00067
8.943	9.37	9.817	1.3	16.2	83.8	0.00065	1.21	15.1	84.9	0.00058	1.18	14.7	85.3	0.00055
9.817	10.29	10.78	1.41	17.5	82.5	0.00053	1.32	16.3	83.7	0.00048	1.28	15.9	84.1	0.00045
10.78	11.29	11.83	1.53	18.9	81.1	0.00044	1.44	17.6	82.4	0.00039	1.4	17.2	82.8	0.00038
11.83	12.4	12.99	1.67	20.5	79.5	0.00036	1.57	19.1	80.9	0.00033	1.53	18.6	81.4	0.00031
12.99	13.61	14.26	1.83	22.2	77.8	0.0003	1.72	20.6	79.4	0.00027	1.68	20.1	79.9	0.00026
