LS	15:58  19 Jan 2022
File name:	MZTEST02_MZPB_19.$ls
File ID:	MZTEST02
Sample ID:	MZPB
Operator:	HBUCKLAND
Bar code:	
Comment 1:	
Comment 2:	
Instrument:	LS 230, VSM Plus
Run number:	19
Start time:	15:56  19 Jan 2022
Run length:	63
Optical model:	Fraunhofer.rfd   PIDS included
Obscuration:	9
PIDS Obscur:	40
Obscuration:	OK
Serial Number:	7205

From	0.0400
To	2000
Volume 	100
Mean:	70.89
Median:	35.28
D(0,0):	0.105
Mean/Median ratio:	2.009
Mode:	34.58
S.D.:	97.60
Variance:	9525
C.V.:	137.7
Skewness:	2.711
Kurtosis:	8.423
d10:	5.426
d50:	35.28
d90:	187.0
Specific Surf. Area:	7702

% <	Size 
10	5.43
25	15.1
50	35.3
75	78.6
90	187

% >	Size 
10	187
25	78.6
50	35.3
75	15.1
90	5.43

Size 	% <
1	2.20
10	17.2
100	80.2
1000	100

Size 	% >
1	97.8
10	82.8
100	19.8
1000	0

Particle	MZTEST02
Diameter	_MZPB_19
um	.$ls
	Volume
	% <
2	4.19
5	9.31
16	26.3
20	32.0
32	46.7
50	61.6
63	69.0
125	84.1
250	93.6
500	99.1
1000	100
2000	100

Channel	Cum. >
Diameter	Volume
(Lower)	%
um	
0.040	100
0.044	100
0.048	99.999
0.053	99.998
0.058	99.997
0.064	99.99
0.070	99.99
0.077	99.98
0.084	99.97
0.093	99.95
0.102	99.9
0.112	99.9
0.122	99.9
0.134	99.9
0.148	99.8
0.162	99.8
0.178	99.7
0.195	99.7
0.214	99.7
0.235	99.6
0.258	99.5
0.284	99.5
0.311	99.4
0.342	99.3
0.375	99.2
0.412	99.2
0.452	99.1
0.496	98.9
0.545	98.8
0.598	98.7
0.656	98.6
0.721	98.4
0.791	98.3
0.868	98.1
0.953	97.9
1.047	97.7
1.149	97.5
1.261	97.3
1.385	97.0
1.520	96.7
1.668	96.4
1.832	96.1
2.011	95.8
2.207	95.4
2.423	95.0
2.660	94.6
2.920	94.2
3.205	93.7
3.519	93.1
3.863	92.6
4.240	91.9
4.655	91.3
5.110	90.5
5.610	89.7
6.158	88.8
6.760	87.9
7.421	86.8
8.147	85.7
8.943	84.4
9.817	83.1
10.78	81.6
11.83	80.0
12.99	78.2
14.26	76.3
15.65	74.3
17.18	72.0
18.86	69.6
20.70	67.0
22.73	64.3
24.95	61.4
27.39	58.4
30.07	55.3
33.01	52.2
36.24	49.1
39.78	45.9
43.67	42.8
47.94	39.7
52.62	36.6
57.77	33.7
63.41	30.8
69.61	28.1
76.42	25.7
83.89	23.4
92.09	21.4
101.1	19.6
111.0	17.9
121.8	16.3
133.7	14.8
146.8	13.4
161.2	12.1
176.9	10.7
194.2	9.47
213.2	8.28
234.1	7.16
256.9	6.11
282.1	5.14
309.6	4.24
339.9	3.42
373.1	2.67
409.6	2.01
449.7	1.42
493.6	0.92
541.9	0.51
594.9	0.23
653.0	0.071
716.8	0.012
786.9	0.00082
863.9	0
948.3	0
1041	0
1143	0
1255	0
1377	0
1512	0
1660	0
1822	0
2000	0

