LS	18/11/2022 12:31									
File name:	IODP_STV0122-12_01.$ls									
File ID:	IODP									
Sample ID:	STV0122-124									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	1									
Start time:	18/11/2022 12:30									
Run length:	62									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	8									
PIDS Obscur:	41									
Obscuration:	OK									
Serial Number:	7205									
										
From	0.04									
To	2000									
Volume 	100									
Mean:	73.14									
Median:	49.58									
"D(0,0):"	0.119									
Mean/Median ratio:	1.475									
Mode:	72.94									
S.D.:	77.9									
Variance:	6068									
C.V.:	106.5									
Skewness:	2.368									
Kurtosis:	8.91									
d10:	5.822									
d50:	49.58									
d90:	170.3									
Specific Surf. Area:	6298									
										
% <	Size 									
10	5.82									
25	18.7									
50	49.6									
75	102									
90	170									
										
% >	Size 									
10	170									
25	102									
50	49.6									
75	18.7									
90	5.82									
										
Size 	% <									
1	1.85									
10	15.3									
100	74.2									
1000	100									
										
Size 	% >									
1	98.1									
10	84.7									
100	25.8									
1000	0									
										
Particle	IODP_STV012	Volume	Volume	IODP_std	Volume	Volume				
Diameter	2-12_01.$ls	% >	%	_MazPB_02	% >	%				
um	Volume			.$ls						
	% <			Volume						
0.4	0.54	99.5	0.19	0.82	99.2	0.23				
0.488	0.73	99.3	0.44	1.04	99	0.51				
0.69	1.17	98.8	0.64	1.55	98.4	0.71				
0.98	1.81	98.2	0.86	2.26	97.7	0.93				
1.38	2.67	97.3	1.16	3.19	96.8	1.26				
1.95	3.83	96.2	1.49	4.45	95.5	1.67				
2.76	5.32	94.7	1.89	6.12	93.9	2.21				
3.91	7.21	92.8	2.37	8.33	91.7	2.92				
5.52	9.58	90.4	3.04	11.2	88.8	3.94				
7.81	12.6	87.4	3.92	15.2	84.8	5.28				
11.05	16.5	83.5	5.15	20.5	79.5	7.06				
15.63	21.7	78.3	6.73	27.5	72.5	9.23				
22.1	28.4	71.6	8.41	36.8	63.2	11.1				
31.3	36.8	63.2	9.61	47.9	52.1	11.5				
44.2	46.4	53.6	11.3	59.3	40.7	10.8				
62.5	57.8	42.2	12.2	70.1	29.9	8.19				
88.4	70	30	11.6	78.3	21.7	5.9				
125	81.6	18.4	9.37	84.2	15.8	5.49				
177	90.9	9.07	5.82	89.7	10.3	4.38				
250	96.7	3.25	2.21	94.1	5.9	3.04				
354	99	1.04	0.62	97.1	2.86	2.01				
500	99.6	0.42	0.42	99.1	0.85	0.84				
707	99.996	0.0041	0.0041	99.98	0.017	0.017				
1000	100	0	0	100	0	0				
1414	100	0	0	100	0	0				
2000	100	0	0	100	0	0				
2828	100	0	0	100	0	0				
4000	100	0		100	0					
										
Channel	Channel	Channel	2-12_01.$ls	Cum. <	Cum. >	Diff.	_MazPB_02	Cum. <	Cum. >	Diff.
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number	.$ls	Volume	Volume	Number
